2SLAVE,FH-GBML,SGERD,CBA,CBA2,CMAR,CPAR,C4.5,FARC-HD,FKAM-AUTO,FKAM-HETERO
82.91,86.00,84.48,89.60,89.60,89.70,87.80,83.30,84.20,86.00,86.00
48.82,53.51,51.59,56.90,54.90,53.90,54.90,54.50,55.20,53.94,53.27
74.06,86.60,85.03,83.60,85.00,85.00,87.30,85.30,86.00,84.81,84.81
84.53,69.38,74.05,78.00,77.10,77.70,76.20,79.50,82.20,83.68,83.39
58.05,57.99,58.49,70.80,71.30,70.30,68.90,67.40,70.20,81.29,81.33
71.36,75.93,73.21,83.00,81.50,82.20,80.70,78.50,84.40,82.96,82.59
94.44,94.00,94.89,93.30,93.30,94.00,96.00,96.00,96.00,93.33,93.33
97.26,98.18,80.65,100.00,100.00,100.00,100.00,100.00,99.80,100.00,100.00
67.04,68.89,68.09,36.10,7.20,39.20,63.60,69.40,76.70,88.06,88.06
73.71,75.26,73.37,72.70,72.50,75.10,74.50,74.00,75.70,72.28,72.28
71.42,68.24,71.90,75.40,77.90,78.80,75.00,70.50,80.20,88.90,88.88
79.17,72.36,78.16,79.80,79.80,79.40,78.30,76.50,79.80,80.56,81.31
71.11,67.07,65.83,63.60,74.90,60.40,63.00,81.50,71.80,99.39,99.39
92.33,92.26,90.68,94.70,95.10,94.90,95.10,95.20,95.30,97.37,97.72
89.47,92.61,91.88,93.80,93.80,96.70,95.60,93.30,94.30,97.75,98.30
81.69,74.72,77.10,85.20,83.60,84.90,85.80,85.80,87.30,92.48,92.54
81.57,70.15,71.66,84.50,52.50,73.80,90.70,92.60,92.90,99.51,99.55
70.53,87.01,67.97,75.30,73.70,71.90,73.30,72.50,72.80,75.40,74.80
51.27,51.42,38.77,54.70,55.90,53.60,56.30,55.60,58.50,57.42,56.94
70.14,77.22,72.98,93.20,93.00,92.00,93.50,92.70,91.90,93.26,92.71
76.41,79.66,75.55,80.50,81.20,78.60,81.90,86.80,82.10,90.23,90.17
91.39,94.21,90.72,94.00,95.90,94.40,96.10,97.10,95.00,97.11,97.08
